station_id,dataset,parameter,date,value,quality,station_id,dataset,parameter,date,value,quality
05692,climate_summary,temperature_air_mean_200,1896-01-01T00:00:00+00:00,282.88,5.0,05692,climate_summary,precipitation_height,1896-01-01T00:00:00+00:00,479.0,5.0
05692,climate_summary,temperature_air_mean_200,1897-01-01T00:00:00+00:00,283.39,5.0,05692,climate_summary,precipitation_height,1897-01-01T00:00:00+00:00,474.0,5.0
05692,climate_summary,temperature_air_mean_200,1898-01-01T00:00:00+00:00,283.88,5.0,05692,climate_summary,precipitation_height,1898-01-01T00:00:00+00:00,491.0,5.0
05692,climate_summary,temperature_air_mean_200,1899-01-01T00:00:00+00:00,283.59999999999997,5.0,05692,climate_summary,precipitation_height,1899-01-01T00:00:00+00:00,433.0,5.0
05692,climate_summary,temperature_air_mean_200,1900-01-01T00:00:00+00:00,283.81,5.0,05692,climate_summary,precipitation_height,1900-01-01T00:00:00+00:00,625.0,5.0
05692,climate_summary,temperature_air_mean_200,1901-01-01T00:00:00+00:00,282.89,5.0,05692,climate_summary,precipitation_height,1901-01-01T00:00:00+00:00,556.0,5.0
05692,climate_summary,temperature_air_mean_200,1902-01-01T00:00:00+00:00,282.84,5.0,05692,climate_summary,precipitation_height,1902-01-01T00:00:00+00:00,398.0,5.0
05692,climate_summary,temperature_air_mean_200,1903-01-01T00:00:00+00:00,283.67999999999995,5.0,05692,climate_summary,precipitation_height,1903-01-01T00:00:00+00:00,472.0,5.0
05692,climate_summary,temperature_air_mean_200,1904-01-01T00:00:00+00:00,283.72999999999996,5.0,05692,climate_summary,precipitation_height,1904-01-01T00:00:00+00:00,505.0,5.0
05692,climate_summary,temperature_air_mean_200,1905-01-01T00:00:00+00:00,283.34999999999997,5.0,05692,climate_summary,precipitation_height,1905-01-01T00:00:00+00:00,492.0,5.0
05692,climate_summary,temperature_air_mean_200,1906-01-01T00:00:00+00:00,283.42999999999995,5.0,05692,climate_summary,precipitation_height,1906-01-01T00:00:00+00:00,637.0,5.0
05692,climate_summary,temperature_air_mean_200,1907-01-01T00:00:00+00:00,282.59,5.0,05692,climate_summary,precipitation_height,1907-01-01T00:00:00+00:00,451.0,5.0
05692,climate_summary,temperature_air_mean_200,1908-01-01T00:00:00+00:00,281.91999999999996,5.0,05692,climate_summary,precipitation_height,1908-01-01T00:00:00+00:00,588.0,5.0
05692,climate_summary,temperature_air_mean_200,1909-01-01T00:00:00+00:00,282.15999999999997,5.0,05692,climate_summary,precipitation_height,1909-01-01T00:00:00+00:00,504.0,5.0
